S.No.,Book Title,Author,Edition,OpenURL
237,Psychoeducational Assessment and Report Writing,Stefan C. Dombrowski,2015,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-1911-6
238,Machine Learning in Medicine - a Complete Overview,"Ton J. Cleophas, Aeilko H. Zwinderman",2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-15195-3
239,Evidence-Based Interventions for Children with Challenging Behavior,"Kathleen Hague Armstrong, Julia A. Ogg, Ashley N. Sundman-Wheat, Audra St. John Walsh",2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7807-2
240,Principles of Quantum Mechanics,R. Shankar,2nd ed. 1994,http://link.springer.com/openurl?genre=book&isbn=978-1-4757-0576-8
241,Recommender Systems,Charu C. Aggarwal,1st ed. 2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-29659-3
242,Pharmaceutical Biotechnology,"Daan J. A. Crommelin, Robert D. Sindelar, Bernd Meibohm",4th ed. 2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6486-0
243,Python Programming Fundamentals,Kent D. Lee,2nd ed. 2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-6642-9
244,The Finite Element Method and Applications in Engineering Using ANSYS®,"Erdogan Madenci, Ibrahim Guven",2nd ed. 2015,http://link.springer.com/openurl?genre=book&isbn=978-1-4899-7550-8
245,Group Theory,"Mildred S. Dresselhaus, Gene Dresselhaus, Ado Jorio",2008,http://link.springer.com/openurl?genre=book&isbn=978-3-540-32899-5
246,"Object-Oriented Analysis, Design and Implementation","Brahma Dathan, Sarnath Ramnath",2nd ed. 2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-24280-4
247,Introduction to Embedded Systems,"Manuel Jiménez, Rogelio Palomera, Isidoro Couvertier",2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3143-5
248,Elementary Mechanics Using Matlab,Anders Malthe-Sørenssen,2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-19587-2
249,An Introduction to Biomechanics,"Jay D. Humphrey, Sherry L. O’Rourke",2nd ed. 2015,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2623-7
250,New Introduction to Multiple Time Series Analysis,Helmut Lütkepohl,2005,http://link.springer.com/openurl?genre=book&isbn=978-3-540-27752-1
251,Introduction to Data Science,"Laura Igual, Santi Seguí",1st ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-50017-1
252,Calculus With Applications,"Peter D. Lax, Maria Shea Terrell",2nd ed. 2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7946-8
253,An Introduction to Soil Mechanics,Arnold Verruijt,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-61185-3
254,Game Theory,Hans Peters,2nd ed. 2015,http://link.springer.com/openurl?genre=book&isbn=978-3-662-46950-7
255,Fundamentals of Clinical Trials,"Lawrence M. Friedman, Curt D. Furberg, David L. DeMets, David M. Reboussin, Christopher B. Granger",5th ed. 2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18539-2
256,The Finite Volume Method in Computational Fluid Dynamics,"F. Moukalled, L. Mangani, M. Darwish",1st ed. 2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-16874-6
257,The ASCRS Textbook of Colon and Rectal Surgery,"Scott R. Steele, Tracy L. Hull, Thomas E. Read, Theodore J. Saclarides, Anthony J. Senagore, Charles B. ",3rd ed. 2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-25970-3
258,Applied Predictive Modeling,"Max Kuhn, Kjell Johnson",2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6849-3
259,Introduction to Logic Circuits & Logic Design with VHDL,Brock J. LaMeres,1st ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-34195-8
260,Sustainability Science,"Harald Heinrichs, Pim Martens, Gerd Michelsen, Arnim Wiek",1st ed. 2016,http://link.springer.com/openurl?genre=book&isbn=978-94-017-7242-6
261,Physical Chemistry from a Different Angle,"Georg Job, Regina Rüffler",1st ed. 2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-15666-8
262,The Physics of Semiconductors,Marius Grundmann,3rd ed. 2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-23880-7
263,Energy Harvesting and Energy Efficiency,"Nicu Bizon, Naser Mahdavi Tabatabaei, Frede Blaabjerg, Erol Kurt",1st ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-49875-1
264,Python For ArcGIS,Laura Tateosian,1st ed. 2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18398-5
265,Statics and Mechanics of Structures,"Steen Krenk, Jan Høgsberg",2013,http://link.springer.com/openurl?genre=book&isbn=978-94-007-6113-1
266,Real Analysis,"Miklós Laczkovich, Vera T. Sós",1st ed. 2015,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2766-1
267,MATLAB for Psychologists,"Mauro Borgo, Alessandro Soranzo, Massimo Grassi",2012,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-2197-9
268,Physical Asset Management,Nicholas Anthony John Hastings,2nd ed. 2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-14777-2
269,Essentials of Food Science,"Vickie A. Vaclavik, Elizabeth W. Christian",4th ed. 2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9138-5
270,Quantum Mechanics,K.T. Hecht,2000,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-1272-0
271,Probability Theory,Achim Klenke,2nd ed. 2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5361-0
272,Concise Guide to Databases,"Peter Lake, Paul Crowther",2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5601-7
273,Digital Image Processing,"Wilhelm Burger, Mark J. Burge",2nd ed. 2016,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-6684-9
274,Chemical and Bioprocess Engineering,"Ricardo Simpson, Sudhir K. Sastry",2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9126-2
275,Transmission Electron Microscopy,"David B. Williams, C. Barry Carter",1996,http://link.springer.com/openurl?genre=book&isbn=978-1-4757-2519-3
276,Guide to Computer Network Security,Joseph Migga Kizza,4th ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-55606-2
277,Introduction to Law,"Jaap Hage, Antonia Waltermann, Bram Akkermans",2nd ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-57252-9
278,Advanced Quantum Mechanics,RAINER DICK,2nd ed. 2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-25675-7
279,Bayesian Essentials with R,"Jean-Michel Marin, Christian P. Robert",2nd ed. 2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-8687-9
280,"Robotics, Vision and Control",Peter Corke,2011,http://link.springer.com/openurl?genre=book&isbn=978-3-642-20144-8
281,Applied Chemistry,"Oleg Roussak, H. D. Gesser",2nd ed. 2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4262-2
282,Advanced Organic Chemistry,"Francis A. Carey, Richard J. Sundberg",5th ed. 2007,http://link.springer.com/openurl?genre=book&isbn=978-0-387-44899-2
283,Advanced Organic Chemistry,"Francis A. Carey, Richard J. Sundberg",5th ed. 2007,http://link.springer.com/openurl?genre=book&isbn=978-0-387-71481-3
284,International Humanitarian Action,"Hans-Joachim Heintze, Pierre Thielbörger",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-14454-2
285,Breast Cancer,"Umberto Veronesi, Aron Goldhirsch, Paolo Veronesi, Oreste Davide Gentilini, Maria Cristina Leonardi",1st ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-48848-6
286,"Travel Marketing, Tourism Economics and the Airline Product",Mark Anthony Camilleri,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-49849-2
287,Electronic Commerce 2018,"Efraim Turban, Jon Outland, David King, Jae Kyu Lee, Ting-Peng Liang, Deborrah C. Turban",9th ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-58715-8
288,Disability and Vocational Rehabilitation in Rural Settings,"Debra A. Harley, Noel A. Ysasi, Malachy L. Bishop, Allison R. Fleming",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-64786-9
289,Teaching Medicine and Medical Ethics Using Popular Culture,"Evie Kendal, Basia Diug",1st ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65451-5
290,Market Research,"Erik Mooi, Marko Sarstedt, Irma Mooi-Reci",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-981-10-5218-7
291,Scanning Electron Microscopy and X-Ray Microanalysis,"Joseph I. Goldstein, Dale E. Newbury, Joseph R. Michael, Nicholas W.M. Ritchie, John Henry J. Scott, David C. ",4th ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-6676-9
292,ArcGIS for Environmental and Water Issues,William Bajjali,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-61158-7
293,Physics from Symmetry,Jakob Schwichtenberg,2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-66631-0
294,Communication and Bioethics at the End of Life,"Lori A. Roscoe, David P. Schenck",1st ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-70920-8
295,Foundations of Programming Languages,Kent D. Lee,2nd ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-70790-7
296,Problems in Classical Electromagnetism,"Andrea Macchi, Giovanni Moruzzi, Francesco Pegoraro",1st ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-63133-2
297,Polymer Chemistry,"Sebastian Koltzenburg, Michael Maskos, Oskar Nuyken",1st ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-662-49279-6
298,Probability and Statistics for Computer Science,David Forsyth,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-64410-3
299,Empathetic Space on Screen,Amedeo D'Adamo,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-66772-0
300,Political Social Work,"Shannon R. Lane, Suzanne Pritzker",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68588-5
301,Introductory Quantum Mechanics,Paul R. Berman,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68598-4
302,Guide to Competitive Programming,Antti Laaksonen,1st ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72547-5
303,Introduction to Artificial Intelligence,Wolfgang Ertel,2nd ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-58487-4
304,Bioinformatics for Evolutionary Biologists,"Bernhard Haubold, Angelika Börsch-Haubold",1st ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-67395-0
305,"Concepts, Methods and Practical Applications in Applied Demography",Richard K. Thomas,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65439-3
306,Introduction to Deep Learning,Sandro Skansi,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-73004-2
307,Energy and the Wealth of Nations,"Charles A.S. Hall, Kent Klitgaard",2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-66219-0
308,"A Beginner's Guide to Scala, Object Orientation and Functional Programming",John Hunt,2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75771-1
309,Lessons on Synthetic Bioarchitectures,"Eva-Kathrin Ehmoser-Sinner, Cherng-Wen Darren Tan",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-73123-0
310,Managing Sustainable Business,"Gilbert G. Lenssen, N. Craig Smith",1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-94-024-1144-7
311,Engineering Mechanics 2,"Dietmar Gross, Werner Hauger, Jörg Schröder, Wolfgang A. Wall, Javier Bonet",2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-662-56272-7
312,Fundamentals of Business Process Management,"Marlon Dumas, Marcello La Rosa, Jan Mendling, Hajo A. Reijers",2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-662-56509-4
313,Clinical Methods in Medical Family Therapy,"Tai Mendenhall, Angela Lamson, Jennifer Hodgson, Macaran Baird",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68834-3
314,Guide to Scientific Computing in C++,"Joe Pitt-Francis, Jonathan Whiteley",2nd ed. 2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-73132-2
315,Motivation and Action,"Jutta Heckhausen, Heinz Heckhausen",3rd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65094-4
316,Perspectives on Elderly Crime and Victimization,"Peter C. Kratcoski, Maximilian Edelbacher",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72682-3
317,Knowledge Management,"Klaus North, Gita Kumta",2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-59978-6
318,An Introduction to Zooarchaeology,Diane Gifford-Gonzalez,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65682-3
319,Abstract Algebra,Gregory T. Lee,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77649-1
320,Criminal Justice and Mental Health,"Jada Hector, David Khey",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-76442-9
321,Philosophy of Race,Naomi Zack,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78729-9
322,"Of Cigarettes, High Heels, and Other Interesting Things",Marcel Danesi,3rd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-1-349-95348-6
323,Applied Bioinformatics,"Paul M. Selzer, Richard J. Marhöfer, Oliver Koch",2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68301-0
324,Linear Algebra and Analytic Geometry for Physical Sciences,"Giovanni Landi, Alessandro Zampini",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78361-1
325,Building Energy Modeling with OpenStudio,"Larry Brackney, Andrew Parker, Daniel Macumber, Kyle Benne",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77809-9
326,Customer Relationship Management,"V. Kumar, Werner Reinartz",3rd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-662-55381-7
327,The A-Z of the PhD Trajectory,Eva O. L. Lantsoght,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77425-1
328,Strategic Human Resource Management and Employment Relations,Ashish Malik,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-981-13-0399-9
329,Applied Linear Algebra,"Peter J. Olver, Chehrzad Shakiban",2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91041-3
330,Witnessing Torture,"Alexandra S. Moore, Elizabeth Swanson",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-74965-5
331,Proofs from THE BOOK,"Martin Aigner, Günter M. Ziegler",6th ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-662-57265-8
332,Introduction to General Relativity,Cosimo Bambi,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-981-13-1090-4
333,Introduction to Particle and Astroparticle Physics,"Alessandro De Angelis, Mário Pimenta",2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78181-5
334,Fundamentals of Java Programming,Mitsunori Ogihara,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-89491-1
335,Optimization of Process Flowsheets through Metaheuristic Techniques,"José María Ponce-Ortega, Luis Germán Hernández-Pérez",1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91722-1
336,Robotics,"Matjaž Mihelj, Tadej Bajd, Aleš Ude, Jadran Lenarčič, Aleš Stanovnik, Marko Munih, Jure Rejc, Sebastjan ",2nd ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72911-4
337,Business Ethics - A Philosophical and Behavioral Approach,Christian A. Conrad,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91575-3
338,A First Introduction to Quantum Physics,Pieter Kok,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92207-2
339,Argumentation Theory: A Pragma-Dialectical Perspective,Frans H. van Eemeren,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-95381-6
340,Logical Foundations of Cyber-Physical Systems,André Platzer,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-63588-0
341,Off-Grid Electrical Systems in Developing Countries,Henry Louie,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91890-7
342,Entertainment Science,"Thorsten Hennig-Thurau, Mark B. Houston",1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-89292-4
343,Physics of Oscillations and Waves,Arnt Inge Vistnes,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72314-3
344,Introduction to Programming with Fortran,"Ian Chivers, Jane Sleightholme",4th ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75502-1
345,Fundamentals of Solid State Engineering,Manijeh Razeghi,4th ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75708-7
346,Introduction to Digital Systems Design,"Giuliano Donzellini, Luca Oneto, Domenico Ponta, Davide Anguita",1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92804-3
347,Neural Networks and Deep Learning,Charu C. Aggarwal,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94463-0
348,Data Science and Predictive Analytics,Ivo D. Dinov,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72347-1
349,Systems Programming in Unix/Linux,K.C. Wang,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92429-8
350,Analytical Corporate Finance,Angelo Corelli,2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-95762-3
351,Fraud and Corruption,"Peter C. Kratcoski, Maximilian Edelbacher",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92333-8
352,Conferencing and Presentation English for Young Academics,Michael Guest,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-981-13-2475-8
353,A Concise Guide to Market Research,"Marko Sarstedt, Erik Mooi",3rd ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-662-56707-4
354,Global Supply Chain and Operations Management,"Dmitry Ivanov, Alexander Tsipoulanidis, Jörn Schönberger",2nd ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94313-8
355,Introduction to Parallel Computing,"Roman Trobec, Boštjan Slivnik, Patricio Bulić, Borut Robič",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-98833-7
356,Mathematical Logic,Roman Kossak,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-97298-5
357,Stability and Control of Linear Systems,Andrea Bacciotti,1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-02405-5
358,Introduction to Formal Philosophy,"Sven Ove Hansson, Vincent F. Hendricks",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77434-3
359,Analysis for Computer Scientists,"Michael Oberguggenberger, Alexander Ostermann",2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91155-7
360,International Business Management,"Kamal Fatehi, Jeongho Choi",2nd ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96622-9
361,Research Methods for the Digital Humanities,"lewis levenberg, Tai Neilson, David Rheams",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96713-4
362,Introductory Computer Forensics,Xiaodong Lin,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-030-00581-8
363,Control Engineering,"László Keviczky, Ruth Bars, Jenő Hetthéssy, Csilla Bányász",1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-981-10-8297-9
364,Control Engineering: MATLAB Exercises,"László Keviczky, Ruth Bars, Jenő Hetthéssy, Csilla Bányász",1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-981-10-8321-1
365,"ENZYMES: Catalysis, Kinetics and Mechanisms",N.S. Punekar,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-981-13-0785-0
366,Automatic Control with Experiments,"Victor Manuel Hernández-Guzmán, Ramón Silva-Ortigoza",1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75804-6
367,Internet of Things From Hype to Reality,"Ammar Rayes, Samer Salam",2nd ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-99516-8
368,Quantitative Methods for the Social Sciences,Daniel Stockemer,1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-99118-4
369,A Pythagorean Introduction to Number Theory,Ramin Takloo-Bighash,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-030-02604-2
370,Philosophical and Mathematical Logic,Harrie de Swart,1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-030-03255-5
371,Structural Dynamics,"Mario Paz, Young Hoon Kim",6th ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94743-3
372,"Plant Physiology, Development and Metabolism","Satish C Bhatla, Manju A. Lal",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-981-13-2023-1
373,Quantum Mechanics for Pedestrians 1,Jochen Pade,2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-030-00464-4
374,Plant Anatomy,"Richard Crang, Sheila Lyons-Sobaski, Robert Wise",1st ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77315-5
375,Quantum Mechanics for Pedestrians 2,Jochen Pade,2nd ed. 2018,http://link.springer.com/openurl?genre=book&isbn=978-3-030-00467-5
376,Excel Data Analysis,Hector Guerrero,2nd ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-01279-3
377,Quick Start Guide to VHDL,Brock J. LaMeres,1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-030-04516-6
378,Java in Two Semesters,"Quentin Charatan, Aaron Kans",4th ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-99420-8
379,Managing Media and Digital Organizations,Eli M. Noam,1st ed. 2019,http://link.springer.com/openurl?genre=book&isbn=978-3-319-71288-8
